"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,30.7,30.7,69.3,"Glarus Nord GL","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Glarus Nord: Mit 3'475 Nein-Stimmen zu 1'539 Ja-Stimmen oder 69,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Glarus Nord hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1631,28.5,28.5,71.5,"Glarus Süd GL","Nein zur ""Stopp-Impfpflicht""-Initiative in Glarus Süd mit 71,5 Prozent Ablehnung. Glarus Süd hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1632,23.4,23.4,76.6,"Glarus GL","Glarus hat die ""Stopp-Impfpflicht""-Initiative mit 76,6 Prozent abgelehnt. Glarus hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
2901,50,0,0,"Gächlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2903,50,0,0,"Löhningen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2904,50,0,0,"Neunkirch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2914,50,0,0,"Büttenhardt SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2915,50,0,0,"Dörflingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2917,50,0,0,"Lohn SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2919,50,0,0,"Stetten SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2920,50,0,0,"Thayngen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2931,50,0,0,"Bargen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2932,50,0,0,"Beringen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2933,50,0,0,"Buchberg SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2936,50,0,0,"Merishausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2937,50,0,0,"Neuhausen am Rheinfall SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2938,50,0,0,"Rüdlingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2939,50,0,0,"Schaffhausen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2951,50,0,0,"Beggingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2952,50,0,0,"Schleitheim SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2953,50,0,0,"Siblingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2961,50,0,0,"Buch SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2962,50,0,0,"Hemishofen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2963,50,0,0,"Ramsen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2964,50,0,0,"Stein am Rhein SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2971,50,0,0,"Hallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2972,50,0,0,"Oberhallau SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2973,50,0,0,"Trasadingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
2974,50,0,0,"Wilchingen SH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3001,50,0,0,"Herisau AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3002,50,0,0,"Hundwil AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3003,50,0,0,"Schönengrund AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3004,50,0,0,"Schwellbrunn AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3005,50,0,0,"Stein AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3006,50,0,0,"Urnäsch AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3007,50,0,0,"Waldstatt AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3021,50,0,0,"Bühler AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3022,50,0,0,"Gais AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3023,50,0,0,"Speicher AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3024,50,0,0,"Teufen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3025,50,0,0,"Trogen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3031,50,0,0,"Grub AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3032,50,0,0,"Heiden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3033,50,0,0,"Lutzenberg AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3034,50,0,0,"Rehetobel AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3035,50,0,0,"Reute AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3036,50,0,0,"Wald AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3037,50,0,0,"Walzenhausen AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3038,50,0,0,"Wolfhalden AR","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3101,50,0,0,"Appenzell AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3102,50,0,0,"Gonten AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3104,50,0,0,"Schlatt-Haslen AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3111,50,0,0,"Oberegg AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3112,50,0,0,"Schwende-Rüti AI","Die Resultate dieser Gemeinde sind noch nicht bekannt."
3201,29.2,29.2,70.8,"Häggenschwil SG","Häggenschwil hat die ""Stopp-Impfpflicht""-Initiative mit 70,8 Prozent abgelehnt. Häggenschwil hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3202,29.9,29.9,70.1,"Muolen SG","In Muolen hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Muolen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3203,21.8,21.8,78.2,"St. Gallen SG","78,2 Prozent der Stimmbürgerinnen und Stimmbürger von St. Gallen sagen Nein zur ""Stopp-Impfpflicht""-Initiative. St. Gallen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3204,25.1,25.1,74.9,"Wittenbach SG","Wittenbach hat die ""Stopp-Impfpflicht""-Initiative mit 74,9 Prozent abgelehnt. Wittenbach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3211,21.9,21.9,78.1,"Berg SG","In Berg SG hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 78,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Berg SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3212,32.1,32.1,67.9,"Eggersriet SG","Nein zur ""Stopp-Impfpflicht""-Initiative in Eggersriet: Mit 67,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Eggersriet hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3213,24.4,24.4,75.6,"Goldach SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Goldach: Mit 1'782 Nein-Stimmen zu 576 Ja-Stimmen oder 75,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Goldach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3214,20.6,20.6,79.4,"Mörschwil SG","79,4 Prozent der Stimmbürgerinnen und Stimmbürger von Mörschwil sagen Nein zur ""Stopp-Impfpflicht""-Initiative. Mörschwil hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3215,27.8,27.8,72.2,"Rorschach SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Rorschach: Mit 1'122 Nein-Stimmen zu 433 Ja-Stimmen oder 72,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Rorschach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3216,28.8,28.8,71.2,"Rorschacherberg SG","Nein zur ""Stopp-Impfpflicht""-Initiative in Rorschacherberg: Mit 71,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Rorschacherberg hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3217,27.6,27.6,72.4,"Steinach SG","Steinach hat die ""Stopp-Impfpflicht""-Initiative mit 72,4 Prozent abgelehnt. Steinach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3218,23.3,23.3,76.7,"Tübach SG","Tübach hat die ""Stopp-Impfpflicht""-Initiative mit 76,7 Prozent abgelehnt. Tübach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3219,30.5,30.5,69.5,"Untereggen SG","Nein zur ""Stopp-Impfpflicht""-Initiative in Untereggen: Mit 69,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Untereggen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3231,29.2,29.2,70.8,"Au SG","In Au SG hat die Stimmbevölkerung die ""Stopp-Impfpflicht""-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 70,8 Prozent verworfen. Au SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3232,29.2,29.2,70.8,"Balgach SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Balgach: Mit 954 Nein-Stimmen zu 393 Ja-Stimmen oder 70,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Balgach hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3233,31.5,31.5,68.5,"Berneck SG","Nein zur ""Stopp-Impfpflicht""-Initiative in Berneck mit 68,5 Prozent Ablehnung. Berneck hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3234,30.8,30.8,69.2,"Diepoldsau SG","In Diepoldsau hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 69,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Diepoldsau hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3235,32.7,32.7,67.3,"Rheineck SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Rheineck: Mit 543 Nein-Stimmen zu 264 Ja-Stimmen oder 67,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Rheineck hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3236,34.7,34.7,65.3,"St. Margrethen SG","65,3 Prozent der Stimmbürgerinnen und Stimmbürger von St. Margrethen sagen Nein zur ""Stopp-Impfpflicht""-Initiative. St. Margrethen hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3237,22.4,22.4,77.6,"Thal SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Thal: Mit 1'444 Nein-Stimmen zu 416 Ja-Stimmen oder 77,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Thal hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3238,34.5,34.5,65.5,"Widnau SG","Nein zur ""Stopp-Impfpflicht""-Initiative in Widnau mit 65,5 Prozent Ablehnung. Widnau hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3251,31.5,31.5,68.5,"Altstätten SG","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Altstätten: Mit 2'164 Nein-Stimmen zu 995 Ja-Stimmen oder 68,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Altstätten hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3252,46,46,54,"Eichberg SG","In Eichberg hat die ""Stopp-Impfpflicht""-Initiative keine Mehrheit gefunden. Auf 54 Prozent der abgegebenen Stimmzettel stand ein Nein. Eichberg hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
3253,32.7,32.7,67.3,"Marbach SG","Marbach SG hat die ""Stopp-Impfpflicht""-Initiative mit 67,3 Prozent abgelehnt. Marbach SG hat damit gleich wie der Kanton St. Gallen Nein gesagt zu dieser Vorlage."
