"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,73,73,27,"Egerkingen SO","Die Gemeinde Egerkingen hat die Prämienentlastungsinitiative mit 73 Prozent Ja-Stimmen angenommen. Egerkingen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2402,47,47,53,"Härkingen SO","Nein zu einer 13. AHV-Rente in Härkingen. Die Gemeinde hat die Initiative mit 53 Prozent abgelehnt. Härkingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2403,47.4,47.4,52.6,"Kestenholz SO","Keine Mehrheit für die Prämienentlastungsinitiative in Kestenholz: Mit 9'619 Nein-Stimmen zu 8'677 Ja-Stimmen oder 52,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Kestenholz hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2404,12.8,12.8,87.2,"Neuendorf SO","In Neuendorf hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 87,2 Prozent verworfen. Neuendorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2405,18.4,18.4,81.6,"Niederbuchsiten SO","Nein zur Prämienentlastungsinitiative in Niederbuchsiten: Mit 864 Nein- zu 195 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,6 Prozent. Niederbuchsiten hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2406,50.5,50.5,49.5,"Oberbuchsiten SO","50,5 Prozent der Stimmbürgerinnen und Stimmbürger von Oberbuchsiten haben die Prämienentlastungsinitiative angenommen. Oberbuchsiten hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2407,38.3,38.3,61.7,"Oensingen SO","In Oensingen hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 61,7 Prozent verworfen. Oensingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2408,30.9,30.9,69.1,"Wolfwil SO","In Wolfwil hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 69,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Wolfwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2421,67.2,67.2,32.8,"Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 67,2 Prozent angenommen. Aedermannsdorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2422,69,69,31,"Balsthal SO","69 Prozent der Abstimmenden in der Gemeinde Balsthal haben Ja gesagt zur Prämienentlastungsinitiative. Balsthal hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2424,52.7,52.7,47.3,"Herbetswil SO","52,7 Prozent der Abstimmenden in der Gemeinde Herbetswil haben Ja gesagt zur Prämienentlastungsinitiative. Herbetswil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2425,52.7,52.7,47.3,"Holderbank SO","Ja zur Prämienentlastungsinitiative in Holderbank SO: Mit 52,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Holderbank SO hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2426,62.6,62.6,37.4,"Laupersdorf SO","Ja zur Prämienentlastungsinitiative in Laupersdorf: Mit 62,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Laupersdorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2427,3.1,3.1,96.9,"Matzendorf SO","In Matzendorf hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 96,9 Prozent verworfen. Matzendorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2428,16.9,16.9,83.1,"Mümliswil-Ramiswil SO","83,1 Prozent der Stimmbürgerinnen und Stimmbürger von Mümliswil-Ramiswil sagen Nein zur Prämienentlastungsinitiative. Mümliswil-Ramiswil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2430,55.8,55.8,44.2,"Welschenrohr-Gänsbrunnen SO","55,8 Prozent der Abstimmenden in der Gemeinde Welschenrohr-Gänsbrunnen haben Ja gesagt zur Prämienentlastungsinitiative. Welschenrohr-Gänsbrunnen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2445,46.2,46.2,53.8,"Biezwil SO","53,8 Prozent der Stimmbürgerinnen und Stimmbürger von Biezwil sagen Nein zur Prämienentlastungsinitiative. Biezwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2455,44.3,44.3,55.7,"Lüterkofen-Ichertswil SO","Keine Mehrheit für die Prämienentlastungsinitiative in Lüterkofen-Ichertswil: Mit 5'779 Nein-Stimmen zu 4'594 Ja-Stimmen oder 55,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Lüterkofen-Ichertswil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2457,91.7,91.7,8.3,"Messen SO","91,7 Prozent der Abstimmenden in der Gemeinde Messen haben Ja gesagt zur Prämienentlastungsinitiative. Messen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2461,49.6,49.6,50.4,"Schnottwil SO","Schnottwil hat die Prämienentlastungsinitiative mit 50,4 Prozent abgelehnt. Schnottwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2463,32.1,32.1,67.9,"Unterramsern SO","Nein zur Prämienentlastungsinitiative in Unterramsern: Mit 3'178 Nein- zu 1'505 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 67,9 Prozent. Unterramsern hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2464,88.1,88.1,11.9,"Lüsslingen-Nennigkofen SO","In Lüsslingen-Nennigkofen hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 88,1 Prozent angenommen. Lüsslingen-Nennigkofen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2465,50.3,50.3,49.7,"Buchegg SO","50,3 Prozent der Stimmbürgerinnen und Stimmbürger von Buchegg haben die Prämienentlastungsinitiative angenommen. Buchegg hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2471,58.9,58.9,41.1,"Bättwil SO","In Bättwil hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 58,9 Prozent angenommen. Bättwil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2472,53.7,53.7,46.3,"Büren SO","Die Gemeinde Büren SO hat die Prämienentlastungsinitiative mit 53,7 Prozent Ja-Stimmen angenommen. Büren SO hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2473,18.3,18.3,81.7,"Dornach SO","Dornach hat die Prämienentlastungsinitiative mit 81,7 Prozent abgelehnt. Dornach hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2474,45.8,45.8,54.2,"Gempen SO","Keine Mehrheit für die Prämienentlastungsinitiative in Gempen: Mit 5'475 Nein-Stimmen zu 4'632 Ja-Stimmen oder 54,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Gempen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2475,51.8,51.8,48.2,"Hochwald SO","Ja zur Prämienentlastungsinitiative in Hochwald. Die Gemeinde hat das Volksbegehren mit 51,8 Prozent der Stimmen angenommen. Hochwald hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2476,79.7,79.7,20.3,"Hofstetten-Flüh SO","Die Gemeinde Hofstetten-Flüh hat die Prämienentlastungsinitiative mit 79,7 Prozent Ja-Stimmen angenommen. Hofstetten-Flüh hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2477,28.1,28.1,71.9,"Metzerlen-Mariastein SO","In Metzerlen-Mariastein hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 71,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Metzerlen-Mariastein hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2478,33.4,33.4,66.6,"Nuglar-St. Pantaleon SO","66,6 Prozent der Stimmbürgerinnen und Stimmbürger von Nuglar-St. Pantaleon sagen Nein zur Prämienentlastungsinitiative. Nuglar-St. Pantaleon hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2479,34.4,34.4,65.6,"Rodersdorf SO","Rodersdorf hat die Prämienentlastungsinitiative mit 65,6 Prozent abgelehnt. Rodersdorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2480,92.3,92.3,7.7,"Seewen SO","In Seewen hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 92,3 Prozent angenommen. Seewen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2481,93.7,93.7,6.3,"Witterswil SO","Die Gemeinde Witterswil hat die Prämienentlastungsinitiative mit 93,7 Prozent Ja-Stimmen angenommen. Witterswil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2491,46.9,46.9,53.1,"Hauenstein-Ifenthal SO","53,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hauenstein-Ifenthal sagen Nein zur Prämienentlastungsinitiative. Hauenstein-Ifenthal hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2492,40.4,40.4,59.6,"Kienberg SO","In Kienberg hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 59,6 Prozent verworfen. Kienberg hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2493,60.3,60.3,39.7,"Lostorf SO","60,3 Prozent der Stimmbürgerinnen und Stimmbürger von Lostorf haben die Prämienentlastungsinitiative angenommen. Lostorf hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2495,51.3,51.3,48.7,"Niedergösgen SO","Ja zur Prämienentlastungsinitiative in Niedergösgen: Mit 51,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Niedergösgen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2497,39.8,39.8,60.2,"Obergösgen SO","Nein zu einer 13. AHV-Rente in Obergösgen. Die Gemeinde hat die Initiative mit 60,2 Prozent abgelehnt. Obergösgen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2499,48.4,48.4,51.6,"Stüsslingen SO","51,6 Prozent der Stimmbürgerinnen und Stimmbürger von Stüsslingen sagen Nein zur Prämienentlastungsinitiative. Stüsslingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2500,49.3,49.3,50.7,"Trimbach SO","Trimbach hat die Prämienentlastungsinitiative mit 50,7 Prozent abgelehnt. Trimbach hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2501,67.9,67.9,32.1,"Winznau SO","Die Gemeinde Winznau hat die Prämienentlastungsinitiative mit 67,9 Prozent Ja-Stimmen angenommen. Winznau hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2502,68.2,68.2,31.8,"Wisen SO","In Wisen SO hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 68,2 Prozent angenommen. Wisen SO hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2503,32.2,32.2,67.8,"Erlinsbach SO","In Erlinsbach SO hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 67,8 Prozent verworfen. Erlinsbach SO hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2511,16.8,16.8,83.2,"Aeschi SO","83,2 Prozent der Stimmbürgerinnen und Stimmbürger von Aeschi SO sagen Nein zur Prämienentlastungsinitiative. Aeschi SO hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2513,24.5,24.5,75.5,"Biberist SO","Keine Mehrheit für die Prämienentlastungsinitiative in Biberist: Mit 1'514 Nein-Stimmen zu 491 Ja-Stimmen oder 75,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Biberist hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2514,50.9,50.9,49.1,"Bolken SO","Die Gemeinde Bolken hat die Prämienentlastungsinitiative mit 50,9 Prozent Ja-Stimmen angenommen. Bolken hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2516,50.1,50.1,49.9,"Deitingen SO","Ja zur Prämienentlastungsinitiative in Deitingen. Die Gemeinde hat das Volksbegehren mit 50,1 Prozent der Stimmen angenommen. Deitingen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2517,52.7,52.7,47.3,"Derendingen SO","Ja zur Prämienentlastungsinitiative in Derendingen. Die Gemeinde hat das Volksbegehren mit 52,7 Prozent der Stimmen angenommen. Derendingen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2518,49.9,49.9,50.1,"Etziken SO","50,1 Prozent der Stimmbürgerinnen und Stimmbürger von Etziken sagen Nein zur Prämienentlastungsinitiative. Etziken hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2519,12.4,12.4,87.6,"Gerlafingen SO","Keine Mehrheit für die Prämienentlastungsinitiative in Gerlafingen: Mit 6'933 Nein-Stimmen zu 981 Ja-Stimmen oder 87,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Gerlafingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2520,64.2,64.2,35.8,"Halten SO","Die Stimmbevölkerung von Halten hat die Prämienentlastungsinitiative mit 64,2 Prozent angenommen. Halten hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2523,49,49,51,"Horriwil SO","In Horriwil hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 51 Prozent verworfen. Horriwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2524,15,15,85,"Hüniken SO","Nein zu einer 13. AHV-Rente in Hüniken. Die Gemeinde hat die Initiative mit 85 Prozent abgelehnt. Hüniken hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2525,28.4,28.4,71.6,"Kriegstetten SO","Nein zu einer 13. AHV-Rente in Kriegstetten. Die Gemeinde hat die Initiative mit 71,6 Prozent abgelehnt. Kriegstetten hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2526,14.1,14.1,85.9,"Lohn-Ammannsegg SO","Keine Mehrheit für die Prämienentlastungsinitiative in Lohn-Ammannsegg: Mit 4'544 Nein-Stimmen zu 746 Ja-Stimmen oder 85,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Lohn-Ammannsegg hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2527,68,68,32,"Luterbach SO","Die Gemeinde Luterbach hat die Prämienentlastungsinitiative mit 68 Prozent Ja-Stimmen angenommen. Luterbach hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2528,35.6,35.6,64.4,"Obergerlafingen SO","In Obergerlafingen hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64,4 Prozent verworfen. Obergerlafingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2529,79.2,79.2,20.8,"Oekingen SO","79,2 Prozent der Abstimmenden in der Gemeinde Oekingen haben Ja gesagt zur Prämienentlastungsinitiative. Oekingen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2530,70.3,70.3,29.7,"Recherswil SO","Die Stimmbevölkerung von Recherswil hat die Prämienentlastungsinitiative mit 70,3 Prozent angenommen. Recherswil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2532,11.6,11.6,88.4,"Subingen SO","In Subingen hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 88,4 Prozent verworfen. Subingen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2534,43.4,43.4,56.6,"Zuchwil SO","Keine Mehrheit für die Prämienentlastungsinitiative in Zuchwil: Mit 9'182 Nein-Stimmen zu 7'053 Ja-Stimmen oder 56,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Zuchwil hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2535,56.5,56.5,43.5,"Drei Höfe SO","Ja zur Prämienentlastungsinitiative in Drei Höfe: Mit 56,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Drei Höfe hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2541,66.3,66.3,33.7,"Balm bei Günsberg SO","Die Gemeinde Balm bei Günsberg hat die Prämienentlastungsinitiative mit 66,3 Prozent Ja-Stimmen angenommen. Balm bei Günsberg hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2542,61.2,61.2,38.8,"Bellach SO","61,2 Prozent der Stimmbürgerinnen und Stimmbürger von Bellach haben die Prämienentlastungsinitiative angenommen. Bellach hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2543,21.8,21.8,78.2,"Bettlach SO","Bettlach hat die Prämienentlastungsinitiative mit 78,2 Prozent abgelehnt. Bettlach hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2544,38.3,38.3,61.7,"Feldbrunnen-St. Niklaus SO","In Feldbrunnen-St. Niklaus hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 61,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Feldbrunnen-St. Niklaus hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2545,70.2,70.2,29.8,"Flumenthal SO","Ja zur Prämienentlastungsinitiative in Flumenthal. Die Gemeinde hat das Volksbegehren mit 70,2 Prozent der Stimmen angenommen. Flumenthal hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2546,56.7,56.7,43.3,"Grenchen SO","Die Gemeinde Grenchen hat die Prämienentlastungsinitiative mit 56,7 Prozent Ja-Stimmen angenommen. Grenchen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2547,47.9,47.9,52.1,"Günsberg SO","In Günsberg hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 52,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Günsberg hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2548,1.2,1.2,98.8,"Hubersdorf SO","In Hubersdorf hat die Stimmbevölkerung die Prämienentlastungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 98,8 Prozent verworfen. Hubersdorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2549,32.5,32.5,67.5,"Kammersrohr SO","Nein zur Prämienentlastungsinitiative in Kammersrohr: Mit 2'298 Nein- zu 1'105 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 67,5 Prozent. Kammersrohr hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2550,26.2,26.2,73.8,"Langendorf SO","73,8 Prozent der Stimmbürgerinnen und Stimmbürger von Langendorf sagen Nein zur Prämienentlastungsinitiative. Langendorf hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2551,56.2,56.2,43.8,"Lommiswil SO","Die Stimmbevölkerung von Lommiswil hat die Prämienentlastungsinitiative mit 56,2 Prozent angenommen. Lommiswil hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2553,96.1,96.1,3.9,"Oberdorf SO","Ja zur Prämienentlastungsinitiative in Oberdorf SO: Mit 96,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Oberdorf SO hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2554,72.1,72.1,27.9,"Riedholz SO","72,1 Prozent der Abstimmenden in der Gemeinde Riedholz haben Ja gesagt zur Prämienentlastungsinitiative. Riedholz hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2555,55.3,55.3,44.7,"Rüttenen SO","Die Stimmbevölkerung von Rüttenen hat die Prämienentlastungsinitiative mit 55,3 Prozent angenommen. Rüttenen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2556,61.2,61.2,38.8,"Selzach SO","In Selzach hat die Stimmbevölkerung der Prämienentlastungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 61,2 Prozent angenommen. Selzach hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2571,82.8,82.8,17.2,"Boningen SO","Ja zur Prämienentlastungsinitiative in Boningen: Mit 82,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Boningen hat damit gleich wie der Kanton Solothurn Ja gesagt zu dieser Vorlage."
2572,26.3,26.3,73.7,"Däniken SO","73,7 Prozent der Stimmbürgerinnen und Stimmbürger von Däniken sagen Nein zur Prämienentlastungsinitiative. Däniken hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2573,14.1,14.1,85.9,"Dulliken SO","In Dulliken hat die Prämienentlastungsinitiative keine Mehrheit gefunden. Auf 85,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Dulliken hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2574,34,34,66,"Eppenberg-Wöschnau SO","Eppenberg-Wöschnau hat die Prämienentlastungsinitiative mit 66 Prozent abgelehnt. Eppenberg-Wöschnau hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2575,40.8,40.8,59.2,"Fulenbach SO","Keine Mehrheit für die Prämienentlastungsinitiative in Fulenbach: Mit 8'073 Nein-Stimmen zu 5'574 Ja-Stimmen oder 59,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Fulenbach hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2576,44.3,44.3,55.7,"Gretzenbach SO","Gretzenbach hat die Prämienentlastungsinitiative mit 55,7 Prozent abgelehnt. Gretzenbach hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
2578,43.4,43.4,56.6,"Gunzgen SO","Nein zur Prämienentlastungsinitiative in Gunzgen: Mit 7'681 Nein- zu 5'900 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 56,6 Prozent. Gunzgen hat damit anders abgestimmt als der Kanton Solothurn, der die Vorlage angenommen hat."
