"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,50,0,0,"Boécourt (JU)","Les résultats ne sont pas encore connus dans cette commune."
6703,50,0,0,"Bourrignon (JU)","Les résultats ne sont pas encore connus dans cette commune."
6704,41.4,41.4,58.6,"Châtillon (JU)","Les habitants de Châtillon (JU) rejettent l'initiative pour interdire la ""vaccination obligatoire"" avec 58,6 pour cent de non."
6706,38.1,38.1,61.9,"Courchapoix (JU)","A Courchapoix, les habitants disent non à 61,9 pour cent à l'initiative pour interdire ""la vaccination obligatoire""."
6708,50,0,0,"Courrendlin (JU)","Les résultats ne sont pas encore connus dans cette commune."
6709,34,34,66,"Courroux (JU)","A Courroux, les habitants sont défavorables à l'initiative pour interdire la ""vaccination obligatoire"" avec 66 pour cent des voix."
6710,50,0,0,"Courtételle (JU)","Les résultats ne sont pas encore connus dans cette commune."
6711,50,0,0,"Delémont (JU)","Les résultats ne sont pas encore connus dans cette commune."
6712,33.1,33.1,66.9,"Develier (JU)","L'initiative pour interdire la ""vaccination obligatoire"" ne passe pas la rampe à Develier avec 66,9 pour cent de non."
6713,51.2,51.2,48.8,"Ederswiler (JU)","L'initiative pour interdire la ""vaccination obligatoire"" est acceptée à Ederswiler. Les électeurs de cette petite commune sont 22 à y dire oui, contre 21 à s'y opposer."
6715,36.6,36.6,63.4,"Mervelier (JU)","C'est non à 63,4 pour cent à l'initiative pour interdire la ""vaccination obligatoire"" à Mervelier."
6716,50,0,0,"Mettembert (JU)","Les résultats ne sont pas encore connus dans cette commune."
6718,42.9,42.9,57.1,"Movelier (JU)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Movelier avec 57,1 pour cent des suffrages."
6719,38.6,38.6,61.4,"Pleigne (JU)","L'initiative pour interdire la ""vaccination obligatoire"" échoue à Pleigne avec 61,4 pour cent des suffrages."
6721,24.4,24.4,75.6,"Rossemaison (JU)","Les habitants de Rossemaison s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 75,6 pour cent de non."
6722,41.7,41.7,58.3,"Saulcy (JU)","A Saulcy, les habitants disent non à 58,3 pour cent à l'initiative pour interdire ""la vaccination obligatoire""."
6724,47.1,47.1,52.9,"Soyhières (JU)","L'initiative pour interdire la ""vaccination obligatoire"" ne passe pas la rampe à Soyhières avec 52,9 pour cent de non."
6729,50,0,0,"Haute-Sorne (JU)","Les résultats ne sont pas encore connus dans cette commune."
6730,50,0,0,"Val Terbi (JU)","Les résultats ne sont pas encore connus dans cette commune."
6741,24.4,24.4,75.6,"Le Bémont (JU)","Les habitants du Bémont (JU) s'opposent à l'initiative pour interdire la ""vaccination obligatoire"" avec 75,6 pour cent de non."
