"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",33.9,66.1,0,160,124,"124/160","Es sind <b>124 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>124 des 160 communes sont connus.","I risultati di <b>124 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,330,0,"0/330","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",33.3,66.7,0,80,79,"79/80","Es sind <b>79 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>79 des 80 communes sont connus.","I risultati di <b>79 dei 80 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",27.7,72.3,0,30,17,"17/30","Es sind <b>17 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>17 des 30 communes sont connus.","I risultati di <b>17 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",22.9,77.1,0,7,2,"2/7","Es sind <b>2 von 7</b> Gemeinden ausgezählt.","Le résultats de <b>2 des 7 communes sont connus.","I risultati di <b>2 dei 7 comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",25.9,74.1,25.9,11,11,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",36,64,36,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",55.6,44.4,100,126,77,"77/126","Es sind <b>77 von 126</b> Gemeinden ausgezählt.","Le résultats de <b>77 des 126 communes sont connus.","I risultati di <b>77 dei 126 comuni sono noti."
11,"Solothurn","Soleure","Soletta",40.7,59.3,0,106,57,"57/106","Es sind <b>57 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>57 des 106 communes sont connus.","I risultati di <b>57 dei 106 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",54,46,100,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",42.6,57.4,0,86,60,"60/86","Es sind <b>60 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>60 des 86 communes sont connus.","I risultati di <b>60 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",32.6,67.4,0,75,62,"62/75","Es sind <b>62 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>62 des 75 communes sont connus.","I risultati di <b>62 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",33.6,66.4,0,101,97,"97/101","Es sind <b>97 von 101</b> Gemeinden ausgezählt.","Le résultats de <b>97 des 101 communes sont connus.","I risultati di <b>97 dei 101 comuni sono noti."
19,"Aargau","Argovie","Argovia",34.1,65.9,0,197,190,"190/197","Es sind <b>190 von 197</b> Gemeinden ausgezählt.","Le résultats de <b>190 des 197 communes sont connus.","I risultati di <b>190 dei 197 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
21,"Tessin","Tessin","Ticino",57.6,42.4,100,106,35,"35/106","Es sind <b>35 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>35 des 106 communes sont connus.","I risultati di <b>35 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",60.6,39.4,100,300,298,"298/300","Es sind <b>298 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>298 des 300 communes sont connus.","I risultati di <b>298 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",50.3,49.7,100,122,111,"111/122","Es sind <b>111 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>111 des 122 communes sont connus.","I risultati di <b>111 dei 122 comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
25,"Genf","Genève","Ginevra",61.6,38.4,100,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",71.3,28.7,100,50,20,"20/50","Es sind <b>20 von 50</b> Gemeinden ausgezählt.","Le résultats de <b>20 des 50 communes sont connus.","I risultati di <b>20 dei 50 comuni sono noti."
