"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,29.2,29.2,70.8,"Aeugst am Albis ZH","I cittadini di Aeugst am Albis hanno respinto l'iniziativa per premi meno onerosi del PS con il 70,8 per cento di voti contrari."
2,35.2,35.2,64.8,"Affoltern am Albis ZH","Il 64,8 per cento degli elettori di Affoltern am Albis ha respinto l'iniziativa per premi meno onerosi del PS."
3,34.8,34.8,65.2,"Bonstetten ZH","Il 65,2 per cento degli elettori di Bonstetten ha respinto l'iniziativa per premi meno onerosi del PS."
4,36.2,36.2,63.8,"Hausen am Albis ZH","Nel comune di Hausen am Albis, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 63,8 per cento di voti contrari."
5,28.3,28.3,71.7,"Hedingen ZH","Gli abitanti di Hedingen hanno respinto l'iniziativa per premi meno onerosi del PS con il 71,7 per cento di ""no""."
6,27.6,27.6,72.4,"Kappel am Albis ZH","Il 72,4 per cento degli elettori di Kappel am Albis ha respinto l'iniziativa per premi meno onerosi del PS."
7,35.7,35.7,64.3,"Knonau ZH","Gli abitanti di Knonau hanno respinto l'iniziativa per premi meno onerosi del PS con il 64,3 per cento di ""no""."
8,41.1,41.1,58.9,"Maschwanden ZH","A Maschwanden gli abitanti si sono opposti all'iniziativa per premi meno onerosi del PS con il 58,9 per cento di voti a sfavore."
9,32.7,32.7,67.3,"Mettmenstetten ZH","Nel comune di Mettmenstetten, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 67,3 per cento di voti contrari."
10,36.5,36.5,63.5,"Obfelden ZH","Nel comune di Obfelden, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 63,5 per cento di voti contrari."
11,33.2,33.2,66.8,"Ottenbach ZH","Gli abitanti di Ottenbach hanno respinto l'iniziativa per premi meno onerosi del PS con il 66,8 per cento di ""no""."
12,56.6,56.6,43.4,"Rifferswil ZH","Gli abitanti di Rifferswil hanno accolto l'iniziativa per premi meno onerosi del PS con il 56,6 per cento di ""sì""."
13,31.7,31.7,68.3,"Stallikon ZH","Nel comune di Stallikon, i cittadini hanno respinto l'iniziativa per premi meno onerosi del PS con il 68,3 per cento di voti contrari."
14,24.2,24.2,75.8,"Wettswil am Albis ZH","I cittadini di Wettswil am Albis hanno respinto l'iniziativa per premi meno onerosi del PS con il 75,8 per cento di voti contrari."
22,27.7,27.7,72.3,"Benken ZH","L'iniziativa per premi meno onerosi del PS è stata respinta a Benken ZH, dove ha riscosso il 72,3 per cento di ""no""."
23,26.1,26.1,73.9,"Berg am Irchel ZH","Il 73,9 per cento degli elettori di Berg am Irchel ha respinto l'iniziativa per premi meno onerosi del PS."
24,19.7,19.7,80.3,"Buch am Irchel ZH","Gli elettori di Buch am Irchel si sono mostrati scettici nei confronti dell'iniziativa per premi meno onerosi del PS, che è stata respinta con il 80,3 per cento di voti contrari."
25,34.4,34.4,65.6,"Dachsen ZH","Gli elettori di Dachsen si sono mostrati scettici nei confronti dell'iniziativa per premi meno onerosi del PS, che è stata respinta con il 65,6 per cento di voti contrari."
