"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",65.7,34.3,100,160,118,"118/160","Es sind <b>118 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>118 des 160 communes sont connus.","I risultati di <b>118 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,330,0,"0/330","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",67,33,100,80,67,"67/80","Es sind <b>67 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>67 des 80 communes sont connus.","I risultati di <b>67 dei 80 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",47.9,52.1,0,30,11,"11/30","Es sind <b>11 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>11 des 30 communes sont connus.","I risultati di <b>11 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
7,"Nidwalden","Nidwald","Nidvaldo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",66.8,33.2,100,126,14,"14/126","Es sind <b>14 von 126</b> Gemeinden ausgezählt.","Le résultats de <b>14 des 126 communes sont connus.","I risultati di <b>14 dei 126 comuni sono noti."
11,"Solothurn","Soleure","Soletta",62.8,37.2,100,106,56,"56/106","Es sind <b>56 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>56 des 106 communes sont connus.","I risultati di <b>56 dei 106 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",76.2,23.8,100,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",57.4,42.6,100,86,46,"46/86","Es sind <b>46 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>46 des 86 communes sont connus.","I risultati di <b>46 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",65.7,34.3,100,75,31,"31/75","Es sind <b>31 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>31 des 75 communes sont connus.","I risultati di <b>31 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",64.6,35.4,100,101,97,"97/101","Es sind <b>97 von 101</b> Gemeinden ausgezählt.","Le résultats de <b>97 des 101 communes sont connus.","I risultati di <b>97 dei 101 comuni sono noti."
19,"Aargau","Argovie","Argovia",61.5,38.5,100,197,179,"179/197","Es sind <b>179 von 197</b> Gemeinden ausgezählt.","Le résultats de <b>179 des 197 communes sont connus.","I risultati di <b>179 dei 197 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
21,"Tessin","Tessin","Ticino",68.8,31.2,100,106,10,"10/106","Es sind <b>10 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>10 des 106 communes sont connus.","I risultati di <b>10 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",72.1,27.9,100,300,279,"279/300","Es sind <b>279 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>279 des 300 communes sont connus.","I risultati di <b>279 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",64.3,35.7,100,122,111,"111/122","Es sind <b>111 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>111 des 122 communes sont connus.","I risultati di <b>111 dei 122 comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
26,"Jura","Jura","Giura",0,0,50,50,0,"0/50","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
