"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",69.2,30.8,100,160,156,"156/160","Es sind <b>156 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>156 des 160 communes sont connus.","I risultati di <b>156 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",62.9,37.1,100,330,89,"89/330","Es sind <b>89 von 330</b> Gemeinden ausgezählt.","Le résultats de <b>89 des 330 communes sont connus.","I risultati di <b>89 dei 330 comuni sono noti."
3,"Luzern","Lucerne","Lucerna",70.7,29.3,70.7,80,80,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
4,"Uri","Uri","Uri",60.7,39.3,60.7,19,19,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
5,"Schwyz","Schwyz","Svitto",57,43,57,30,30,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",61.4,38.6,61.4,7,7,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",66.3,33.7,66.3,11,11,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",60.5,39.5,60.5,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",66.8,33.2,100,126,120,"120/126","Es sind <b>120 von 126</b> Gemeinden ausgezählt.","Le résultats de <b>120 des 126 communes sont connus.","I risultati di <b>120 dei 126 comuni sono noti."
11,"Solothurn","Soleure","Soletta",66.2,33.8,66.2,106,106,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",76.2,23.8,76.2,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",62.3,37.7,62.3,86,86,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",63.4,36.6,63.4,26,26,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",60.1,39.9,60.1,20,20,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",58.3,41.7,58.3,5,5,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
17,"St. Gallen","Saint-Gall","San Gallo",65.9,34.1,65.9,75,75,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
18,"Graubünden","Grisons","Grigioni",65.2,34.8,65.2,101,101,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
19,"Aargau","Argovie","Argovia",63.6,36.4,63.6,197,197,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
21,"Tessin","Tessin","Ticino",69.8,30.2,100,106,105,"105/106","Es sind <b>105 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>105 des 106 communes sont connus.","I risultati di <b>105 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",73.5,26.5,73.5,300,300,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
23,"Wallis","Valais","Vallese",64.2,35.8,64.2,122,122,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",69.4,30.6,69.4,27,27,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
25,"Genf","Genève","Ginevra",75.2,24.8,100,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",60.1,39.9,60.1,50,50,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
