"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",33.3,66.7,0,160,148,"148/160","Es sind <b>148 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>148 des 160 communes sont connus.","I risultati di <b>148 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",41.4,58.6,0,330,41,"41/330","Es sind <b>41 von 330</b> Gemeinden ausgezählt.","Le résultats de <b>41 des 330 communes sont connus.","I risultati di <b>41 dei 330 comuni sono noti."
3,"Luzern","Lucerne","Lucerna",34.2,65.8,34.2,80,80,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
4,"Uri","Uri","Uri",32.7,67.3,32.7,19,19,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
5,"Schwyz","Schwyz","Svitto",32.8,67.2,0,30,27,"27/30","Es sind <b>27 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>27 des 30 communes sont connus.","I risultati di <b>27 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",28.1,71.9,0,7,6,"6/7","Es sind <b>6 von 7</b> Gemeinden ausgezählt.","Le résultats de <b>6 des 7 communes sont connus.","I risultati di <b>6 dei 7 comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",31.3,68.7,31.3,11,11,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",31.5,68.5,31.5,3,3,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",51.1,48.9,100,126,102,"102/126","Es sind <b>102 von 126</b> Gemeinden ausgezählt.","Le résultats de <b>102 des 126 communes sont connus.","I risultati di <b>102 dei 126 comuni sono noti."
11,"Solothurn","Soleure","Soletta",41.1,58.9,0,106,101,"101/106","Es sind <b>101 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>101 des 106 communes sont connus.","I risultati di <b>101 dei 106 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",36.4,63.6,0,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",36.4,63.6,0,86,80,"80/86","Es sind <b>80 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>80 des 86 communes sont connus.","I risultati di <b>80 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",34.4,65.6,34.4,75,75,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
18,"Graubünden","Grisons","Grigioni",33.1,66.9,0,101,100,"100/101","Es sind <b>100 von 101</b> Gemeinden ausgezählt.","Le résultats de <b>100 des 101 communes sont connus.","I risultati di <b>100 dei 101 comuni sono noti."
19,"Aargau","Argovie","Argovia",33.3,66.7,0,197,190,"190/197","Es sind <b>190 von 197</b> Gemeinden ausgezählt.","Le résultats de <b>190 des 197 communes sont connus.","I risultati di <b>190 dei 197 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
21,"Tessin","Tessin","Ticino",51,49,100,106,86,"86/106","Es sind <b>86 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>86 des 106 communes sont connus.","I risultati di <b>86 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",28.5,71.5,28.5,300,300,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
23,"Wallis","Valais","Vallese",51.9,48.1,51.9,122,122,,"Es sind alle Gemeinden ausgezählt.","Toutes les communes sont connues.","Tutti i comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
25,"Genf","Genève","Ginevra",37.1,62.9,0,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",61.6,38.4,100,50,47,"47/50","Es sind <b>47 von 50</b> Gemeinden ausgezählt.","Le résultats de <b>47 des 50 communes sont connus.","I risultati di <b>47 dei 50 comuni sono noti."
